event_id,drug_name,adverse_event,reaction,severity,route,dosage
AE00001,osimertinib,fatigue,fatigue,moderate,oral,80 mg
AE00002,osimertinib,nausea,nausea,moderate,oral,80 mg
AE00003,osimertinib,diarrhea,diarrhea,moderate,oral,80 mg
AE00004,osimertinib,vomiting,vomiting,high,oral,80 mg
AE00005,osimertinib,rash,rash,moderate,oral,80 mg
AE00006,osimertinib,fever,fever,moderate,oral,80 mg
AE00007,osimertinib,neuropathy,peripheral neuropathy,high,oral,80 mg
AE00008,osimertinib,neutropenia,neutropenia,high,oral,80 mg
AE00009,osimertinib,anemia,anemia,moderate,oral,80 mg
AE00010,osimertinib,infusion reaction,hypersensitivity,critical,oral,80 mg
AE00011,osimertinib,chest tightness,dyspnea,critical,oral,80 mg
AE00012,osimertinib,stomatitis,oral mucositis,moderate,oral,80 mg
AE00013,erlotinib,fatigue,fatigue,moderate,oral,150 mg
AE00014,erlotinib,nausea,nausea,moderate,oral,150 mg
AE00015,erlotinib,diarrhea,diarrhea,moderate,oral,150 mg
AE00016,erlotinib,vomiting,vomiting,high,oral,150 mg
AE00017,erlotinib,rash,rash,moderate,oral,150 mg
AE00018,erlotinib,fever,fever,moderate,oral,150 mg
AE00019,erlotinib,neuropathy,peripheral neuropathy,high,oral,150 mg
AE00020,erlotinib,neutropenia,neutropenia,high,oral,150 mg
AE00021,erlotinib,anemia,anemia,moderate,oral,150 mg
AE00022,erlotinib,infusion reaction,hypersensitivity,critical,oral,150 mg
AE00023,erlotinib,chest tightness,dyspnea,critical,oral,150 mg
AE00024,erlotinib,stomatitis,oral mucositis,moderate,oral,150 mg
AE00025,pembrolizumab,fatigue,fatigue,moderate,iv,200 mg
AE00026,pembrolizumab,nausea,nausea,moderate,iv,200 mg
AE00027,pembrolizumab,diarrhea,diarrhea,moderate,iv,200 mg
AE00028,pembrolizumab,vomiting,vomiting,high,iv,200 mg
AE00029,pembrolizumab,rash,rash,moderate,iv,200 mg
AE00030,pembrolizumab,fever,fever,moderate,iv,200 mg
AE00031,pembrolizumab,neuropathy,peripheral neuropathy,high,iv,200 mg
AE00032,pembrolizumab,neutropenia,neutropenia,high,iv,200 mg
AE00033,pembrolizumab,anemia,anemia,moderate,iv,200 mg
AE00034,pembrolizumab,infusion reaction,hypersensitivity,critical,iv,200 mg
AE00035,pembrolizumab,chest tightness,dyspnea,critical,iv,200 mg
AE00036,pembrolizumab,stomatitis,oral mucositis,moderate,iv,200 mg
AE00037,nivolumab,fatigue,fatigue,moderate,iv,240 mg
AE00038,nivolumab,nausea,nausea,moderate,iv,240 mg
AE00039,nivolumab,diarrhea,diarrhea,moderate,iv,240 mg
AE00040,nivolumab,vomiting,vomiting,high,iv,240 mg
AE00041,nivolumab,rash,rash,moderate,iv,240 mg
AE00042,nivolumab,fever,fever,moderate,iv,240 mg
AE00043,nivolumab,neuropathy,peripheral neuropathy,high,iv,240 mg
AE00044,nivolumab,neutropenia,neutropenia,high,iv,240 mg
AE00045,nivolumab,anemia,anemia,moderate,iv,240 mg
AE00046,nivolumab,infusion reaction,hypersensitivity,critical,iv,240 mg
AE00047,nivolumab,chest tightness,dyspnea,critical,iv,240 mg
AE00048,nivolumab,stomatitis,oral mucositis,moderate,iv,240 mg
AE00049,atezolizumab,fatigue,fatigue,moderate,iv,1200 mg
AE00050,atezolizumab,nausea,nausea,moderate,iv,1200 mg
AE00051,atezolizumab,diarrhea,diarrhea,moderate,iv,1200 mg
AE00052,atezolizumab,vomiting,vomiting,high,iv,1200 mg
AE00053,atezolizumab,rash,rash,moderate,iv,1200 mg
AE00054,atezolizumab,fever,fever,moderate,iv,1200 mg
AE00055,atezolizumab,neuropathy,peripheral neuropathy,high,iv,1200 mg
AE00056,atezolizumab,neutropenia,neutropenia,high,iv,1200 mg
AE00057,atezolizumab,anemia,anemia,moderate,iv,1200 mg
AE00058,atezolizumab,infusion reaction,hypersensitivity,critical,iv,1200 mg
AE00059,atezolizumab,chest tightness,dyspnea,critical,iv,1200 mg
AE00060,atezolizumab,stomatitis,oral mucositis,moderate,iv,1200 mg
AE00061,durvalumab,fatigue,fatigue,moderate,iv,10 mg/kg
AE00062,durvalumab,nausea,nausea,moderate,iv,10 mg/kg
AE00063,durvalumab,diarrhea,diarrhea,moderate,iv,10 mg/kg
AE00064,durvalumab,vomiting,vomiting,high,iv,10 mg/kg
AE00065,durvalumab,rash,rash,moderate,iv,10 mg/kg
AE00066,durvalumab,fever,fever,moderate,iv,10 mg/kg
AE00067,durvalumab,neuropathy,peripheral neuropathy,high,iv,10 mg/kg
AE00068,durvalumab,neutropenia,neutropenia,high,iv,10 mg/kg
AE00069,durvalumab,anemia,anemia,moderate,iv,10 mg/kg
AE00070,durvalumab,infusion reaction,hypersensitivity,critical,iv,10 mg/kg
AE00071,durvalumab,chest tightness,dyspnea,critical,iv,10 mg/kg
AE00072,durvalumab,stomatitis,oral mucositis,moderate,iv,10 mg/kg
AE00073,ipilimumab,fatigue,fatigue,moderate,iv,3 mg/kg
AE00074,ipilimumab,nausea,nausea,moderate,iv,3 mg/kg
AE00075,ipilimumab,diarrhea,diarrhea,moderate,iv,3 mg/kg
AE00076,ipilimumab,vomiting,vomiting,high,iv,3 mg/kg
AE00077,ipilimumab,rash,rash,moderate,iv,3 mg/kg
AE00078,ipilimumab,fever,fever,moderate,iv,3 mg/kg
AE00079,ipilimumab,neuropathy,peripheral neuropathy,high,iv,3 mg/kg
AE00080,ipilimumab,neutropenia,neutropenia,high,iv,3 mg/kg
AE00081,ipilimumab,anemia,anemia,moderate,iv,3 mg/kg
AE00082,ipilimumab,infusion reaction,hypersensitivity,critical,iv,3 mg/kg
AE00083,ipilimumab,chest tightness,dyspnea,critical,iv,3 mg/kg
AE00084,ipilimumab,stomatitis,oral mucositis,moderate,iv,3 mg/kg
AE00085,trastuzumab,fatigue,fatigue,moderate,iv,6 mg/kg
AE00086,trastuzumab,nausea,nausea,moderate,iv,6 mg/kg
AE00087,trastuzumab,diarrhea,diarrhea,moderate,iv,6 mg/kg
AE00088,trastuzumab,vomiting,vomiting,high,iv,6 mg/kg
AE00089,trastuzumab,rash,rash,moderate,iv,6 mg/kg
AE00090,trastuzumab,fever,fever,moderate,iv,6 mg/kg
AE00091,trastuzumab,neuropathy,peripheral neuropathy,high,iv,6 mg/kg
AE00092,trastuzumab,neutropenia,neutropenia,high,iv,6 mg/kg
AE00093,trastuzumab,anemia,anemia,moderate,iv,6 mg/kg
AE00094,trastuzumab,infusion reaction,hypersensitivity,critical,iv,6 mg/kg
AE00095,trastuzumab,chest tightness,dyspnea,critical,iv,6 mg/kg
AE00096,trastuzumab,stomatitis,oral mucositis,moderate,iv,6 mg/kg
AE00097,pertuzumab,fatigue,fatigue,moderate,iv,420 mg
AE00098,pertuzumab,nausea,nausea,moderate,iv,420 mg
AE00099,pertuzumab,diarrhea,diarrhea,moderate,iv,420 mg
AE00100,pertuzumab,vomiting,vomiting,high,iv,420 mg
AE00101,pertuzumab,rash,rash,moderate,iv,420 mg
AE00102,pertuzumab,fever,fever,moderate,iv,420 mg
AE00103,pertuzumab,neuropathy,peripheral neuropathy,high,iv,420 mg
AE00104,pertuzumab,neutropenia,neutropenia,high,iv,420 mg
AE00105,pertuzumab,anemia,anemia,moderate,iv,420 mg
AE00106,pertuzumab,infusion reaction,hypersensitivity,critical,iv,420 mg
AE00107,pertuzumab,chest tightness,dyspnea,critical,iv,420 mg
AE00108,pertuzumab,stomatitis,oral mucositis,moderate,iv,420 mg
AE00109,paclitaxel,fatigue,fatigue,moderate,iv,175 mg/m2
AE00110,paclitaxel,nausea,nausea,moderate,iv,175 mg/m2
AE00111,paclitaxel,diarrhea,diarrhea,moderate,iv,175 mg/m2
AE00112,paclitaxel,vomiting,vomiting,high,iv,175 mg/m2
AE00113,paclitaxel,rash,rash,moderate,iv,175 mg/m2
AE00114,paclitaxel,fever,fever,moderate,iv,175 mg/m2
AE00115,paclitaxel,neuropathy,peripheral neuropathy,high,iv,175 mg/m2
AE00116,paclitaxel,neutropenia,neutropenia,high,iv,175 mg/m2
AE00117,paclitaxel,anemia,anemia,moderate,iv,175 mg/m2
AE00118,paclitaxel,infusion reaction,hypersensitivity,critical,iv,175 mg/m2
AE00119,paclitaxel,chest tightness,dyspnea,critical,iv,175 mg/m2
AE00120,paclitaxel,stomatitis,oral mucositis,moderate,iv,175 mg/m2
AE00121,docetaxel,fatigue,fatigue,moderate,iv,75 mg/m2
AE00122,docetaxel,nausea,nausea,moderate,iv,75 mg/m2
AE00123,docetaxel,diarrhea,diarrhea,moderate,iv,75 mg/m2
AE00124,docetaxel,vomiting,vomiting,high,iv,75 mg/m2
AE00125,docetaxel,rash,rash,moderate,iv,75 mg/m2
AE00126,docetaxel,fever,fever,moderate,iv,75 mg/m2
AE00127,docetaxel,neuropathy,peripheral neuropathy,high,iv,75 mg/m2
AE00128,docetaxel,neutropenia,neutropenia,high,iv,75 mg/m2
AE00129,docetaxel,anemia,anemia,moderate,iv,75 mg/m2
AE00130,docetaxel,infusion reaction,hypersensitivity,critical,iv,75 mg/m2
AE00131,docetaxel,chest tightness,dyspnea,critical,iv,75 mg/m2
AE00132,docetaxel,stomatitis,oral mucositis,moderate,iv,75 mg/m2
AE00133,cisplatin,fatigue,fatigue,moderate,iv,75 mg/m2
AE00134,cisplatin,nausea,nausea,moderate,iv,75 mg/m2
AE00135,cisplatin,diarrhea,diarrhea,moderate,iv,75 mg/m2
AE00136,cisplatin,vomiting,vomiting,high,iv,75 mg/m2
AE00137,cisplatin,rash,rash,moderate,iv,75 mg/m2
AE00138,cisplatin,fever,fever,moderate,iv,75 mg/m2
AE00139,cisplatin,neuropathy,peripheral neuropathy,high,iv,75 mg/m2
AE00140,cisplatin,neutropenia,neutropenia,high,iv,75 mg/m2
AE00141,cisplatin,anemia,anemia,moderate,iv,75 mg/m2
AE00142,cisplatin,infusion reaction,hypersensitivity,critical,iv,75 mg/m2
AE00143,cisplatin,chest tightness,dyspnea,critical,iv,75 mg/m2
AE00144,cisplatin,stomatitis,oral mucositis,moderate,iv,75 mg/m2
AE00145,carboplatin,fatigue,fatigue,moderate,iv,auc 5
AE00146,carboplatin,nausea,nausea,moderate,iv,auc 5
AE00147,carboplatin,diarrhea,diarrhea,moderate,iv,auc 5
AE00148,carboplatin,vomiting,vomiting,high,iv,auc 5
AE00149,carboplatin,rash,rash,moderate,iv,auc 5
AE00150,carboplatin,fever,fever,moderate,iv,auc 5
AE00151,carboplatin,neuropathy,peripheral neuropathy,high,iv,auc 5
AE00152,carboplatin,neutropenia,neutropenia,high,iv,auc 5
AE00153,carboplatin,anemia,anemia,moderate,iv,auc 5
AE00154,carboplatin,infusion reaction,hypersensitivity,critical,iv,auc 5
AE00155,carboplatin,chest tightness,dyspnea,critical,iv,auc 5
AE00156,carboplatin,stomatitis,oral mucositis,moderate,iv,auc 5
AE00157,oxaliplatin,fatigue,fatigue,moderate,iv,85 mg/m2
AE00158,oxaliplatin,nausea,nausea,moderate,iv,85 mg/m2
AE00159,oxaliplatin,diarrhea,diarrhea,moderate,iv,85 mg/m2
AE00160,oxaliplatin,vomiting,vomiting,high,iv,85 mg/m2
AE00161,oxaliplatin,rash,rash,moderate,iv,85 mg/m2
AE00162,oxaliplatin,fever,fever,moderate,iv,85 mg/m2
AE00163,oxaliplatin,neuropathy,peripheral neuropathy,high,iv,85 mg/m2
AE00164,oxaliplatin,neutropenia,neutropenia,high,iv,85 mg/m2
AE00165,oxaliplatin,anemia,anemia,moderate,iv,85 mg/m2
AE00166,oxaliplatin,infusion reaction,hypersensitivity,critical,iv,85 mg/m2
AE00167,oxaliplatin,chest tightness,dyspnea,critical,iv,85 mg/m2
AE00168,oxaliplatin,stomatitis,oral mucositis,moderate,iv,85 mg/m2
AE00169,doxorubicin,fatigue,fatigue,moderate,iv,60 mg/m2
AE00170,doxorubicin,nausea,nausea,moderate,iv,60 mg/m2
AE00171,doxorubicin,diarrhea,diarrhea,moderate,iv,60 mg/m2
AE00172,doxorubicin,vomiting,vomiting,high,iv,60 mg/m2
AE00173,doxorubicin,rash,rash,moderate,iv,60 mg/m2
AE00174,doxorubicin,fever,fever,moderate,iv,60 mg/m2
AE00175,doxorubicin,neuropathy,peripheral neuropathy,high,iv,60 mg/m2
AE00176,doxorubicin,neutropenia,neutropenia,high,iv,60 mg/m2
AE00177,doxorubicin,anemia,anemia,moderate,iv,60 mg/m2
AE00178,doxorubicin,infusion reaction,hypersensitivity,critical,iv,60 mg/m2
AE00179,doxorubicin,chest tightness,dyspnea,critical,iv,60 mg/m2
AE00180,doxorubicin,stomatitis,oral mucositis,moderate,iv,60 mg/m2
AE00181,olaparib,fatigue,fatigue,moderate,oral,300 mg
AE00182,olaparib,nausea,nausea,moderate,oral,300 mg
AE00183,olaparib,diarrhea,diarrhea,moderate,oral,300 mg
AE00184,olaparib,vomiting,vomiting,high,oral,300 mg
AE00185,olaparib,rash,rash,moderate,oral,300 mg
AE00186,olaparib,fever,fever,moderate,oral,300 mg
AE00187,olaparib,neuropathy,peripheral neuropathy,high,oral,300 mg
AE00188,olaparib,neutropenia,neutropenia,high,oral,300 mg
AE00189,olaparib,anemia,anemia,moderate,oral,300 mg
